Ðe se ponen a plaç meg ny rout, graðleur e donaçon rovant.|They were standing in the street asking for money and volunteers.
Y graðleur porçonaurn y mansc seyon coglt pall'eç joun orphan.|The volunteers shared the food they had collected with the orphans here.
Ayent dou cougl W e X, un porçonment dy som W + X nommau nos un mission m ant font W e bers X ða casc porçon toc X cos unic.|Given two sets W and X, a partition of the sum W + X is called a function m with source W and target X if each part intersects W exactly once.
Y justiçour absoloirn my grandmaðr poll'ig delit a blasmant.|The judges found my grandmother innocent of blasphemy.
Nos eu l'oc annað dou tort dell'ivan apportað; stoven torrir ag casc aldr!|We've brought two Christmas pies this year - both my parents wanted to bake!
Ðe voun calscon fallent fair por l'oc bors scholer cavir.|They will do whatever it takes to get this grant.
Y concegl surmettraun jamay ty messarf periglous d'œculux bressem.|The committee will never condone your dangerous misuse of ionising radiation.
Vail un bon trenc, lour dar un jorn cogmað lon cost.|It would be nice to give them a day off for free.
Ða meðes nos poðau lou fornir d'aïðanç, ðe trocausn noc entr tardessem.|Even if we provided them with aid, they would not reciprocate later.
J'oyeu ne Horð ðe pascn for bakilau.|I heard that in Horth they only eat cod.
Nos voum partir je Maucr, donc toð je Mart faldra banfoy quïr.|We'll leave on Wednesday, so we need all Tuesday to pack.
Nien va par un bricot nuçal lour rovant, com i fay rastel!|There's no point asking him for a wedding present, he's so miserly!
A Portingal fo un method novel, ant carn aromað ne saus de scitom pisað.|In Portingale there was a new recipe, with spiced meat in a tomato sauce.
Y soldart eð y barvier vencoirn y dragon e soulor allagr vescoirn ðe.|The soldier and the shepherdess killed the dragon and lived happily ever after.
Rey Ambrosc commandau casc vascel port frugt sandrin, ma faloy moneð demay.|King Ambrose required each ship to carry citrus fruits, but the cost was too high.
Infeliç, my sour poð noc boleð pascr, dec i lou support noc.|Unfortunately, my sister cannot eat mushrooms as she is intolerant.
Ah, j'ay formig me caut – jo seray dormið sull'oc braç!|Ow, I've got pins and needles – I must have slept on my arm!
Cossy asseïr sull'ig caðer no sera scur quemant.|Surely sitting on the chair like that is uncomfortable.
Stou y Duc coy l'eç nohas parmy sull'administration d'autortað may accarr.|The Duke must stop the right-wing in his regime gaining more influence.
Ðe parmettoirn nos entraum siemprað.|They cheerfully let us come in.
Jo vel for un corrovað me nommar, mathem partenent.|I'd only consider myself an amateur when it comes to maths.
Jan es desamoraçandessem; alor i's luy y courstravay accommettent.|John is more likely to fall out of love, so he's the one having an affair.
Sy maðr creye ig sy desir escapat sceus le coïr d'un marið trovar.|Her mother believed her wanderlust might stop her finding a husband.
Jusc oy, Rom foy prohibið ig taisson sein pasct durant Caresm.|Hitherto, Rome had banned badger from being eaten in Lent.
Vos orreð viol cemtir moutessem, com dit, all'hour pre y lugnt.|They say you will most often hear the graveyard fiddles the hour before dawn.
Jo te pieð, dig en mey nien – jo n'ay deja y cart trevold leit dell'oc cougl.|Please don't tell me anything – I've not yet read the fourth book in the series.
Scan noc y jonnovar zucarrað ancour – nos despardreu eç fam.|Don't bring out the candied butterflies yet – we'll ruin our appetites.
